payasam_type,milk_ml,water_ml,main_ingredient_g,sugar_g,cooking_time_min,temperature_c,consistency_score
Paal,699,521,102,71,31,89,51.56
Rice,705,330,90,150,44,84,70.73
Rice,563,277,38,170,53,69,63.6
Parippu,479,162,97,142,27,60,65.14
Semiya,792,584,64,157,46,69,48.63
Semiya,357,215,110,190,43,64,69.59
Paal,258,290,127,59,60,71,74.54
Palada,327,161,117,58,44,81,83.91
Paal,314,355,125,83,32,89,70.23
Parippu,408,582,94,178,27,86,68.17
Parippu,725,106,37,138,57,66,69.03
Parippu,720,254,74,142,35,68,64.28
Parippu,751,191,116,120,44,81,66.97
Parippu,436,569,76,116,35,80,60.28
Rice,480,113,69,197,31,71,69.26
Semiya,558,554,105,166,54,82,65.44
Parippu,400,328,83,143,33,88,68.74
Palada,477,185,105,148,29,60,66.31
Palada,434,232,75,162,23,70,72.82
Palada,693,282,76,152,24,89,55.63
Palada,203,485,44,140,58,80,75.79
Rice,641,161,134,139,45,74,76.35
Palada,228,318,48,66,37,61,63.03
Parippu,308,504,55,67,44,79,63.78
Paal,274,345,81,165,47,66,61.01
Palada,345,329,122,142,23,80,71.59
Rice,327,178,51,140,15,71,60.81
Rice,241,248,133,131,58,81,89.32
Palada,555,237,50,117,49,77,60.33
Paal,240,570,80,163,25,62,43.26
Palada,233,413,67,50,48,66,68.07
Rice,216,475,49,107,30,70,63.96
Semiya,352,522,150,158,23,77,73.76
Parippu,577,488,58,197,46,71,70.77
Rice,787,164,80,165,29,65,63.43
Palada,798,112,33,136,26,64,51.96
Parippu,541,312,84,59,47,85,74.27
Palada,226,573,100,108,59,60,62.5
Palada,486,341,121,90,28,71,70.07
Semiya,367,592,57,154,22,86,44.1
Parippu,467,312,33,182,22,90,52.43
Parippu,654,280,51,171,41,85,58.13
Semiya,600,437,105,194,26,70,58.31
Rice,675,584,74,71,15,63,46.63
Palada,757,272,96,147,57,86,71.46
Paal,775,259,115,117,54,77,63.05
Palada,329,263,137,188,56,63,91.85
Palada,562,564,95,105,25,76,58.34
Rice,491,582,117,198,53,61,75.6
Palada,570,596,63,148,57,88,52.33
Semiya,228,287,120,125,45,83,77.28
Semiya,348,494,84,75,31,81,58.14
Parippu,495,290,134,164,47,61,86.71
Paal,210,504,30,196,46,71,46.98
Palada,711,407,101,158,43,90,65.05
Palada,312,355,116,96,35,65,66.84
Rice,386,282,67,120,35,69,69.56
Semiya,426,216,35,89,54,84,60.85
Paal,509,381,115,182,37,82,58.9
Parippu,297,295,54,198,20,84,60.52
Semiya,254,133,111,181,36,80,82.03
Parippu,605,151,46,72,52,82,70.6
Rice,268,211,90,155,51,86,78.24
Rice,511,351,41,133,59,75,66.17
Palada,488,181,35,192,22,90,54.53
Paal,747,331,119,165,55,73,67.84
Parippu,347,326,56,158,49,66,72.94
Semiya,666,332,37,185,25,87,46.95
Rice,443,320,112,90,38,87,66.94
Palada,690,535,135,161,35,78,69.37
Palada,706,512,94,196,16,82,55.66
Parippu,564,521,86,161,54,76,70.55
Rice,681,141,122,152,33,68,74.93
Paal,400,120,138,95,53,85,77.07
Rice,353,141,142,117,42,72,92.88
Parippu,649,496,128,171,31,81,74.09
Parippu,700,212,69,64,20,64,50.64
Rice,272,204,43,178,33,82,72.71
Parippu,495,291,64,160,52,64,70.48
Rice,216,116,77,73,42,69,77.03
Semiya,416,219,138,76,16,80,69.84
Rice,260,492,113,89,52,86,78.54
Rice,241,524,85,73,51,69,75.63
Parippu,224,228,78,73,18,86,74.03
Parippu,238,229,42,53,36,66,68.75
Palada,330,159,90,116,40,85,76.37
Palada,697,147,131,83,57,74,82.4
Semiya,428,128,78,165,50,66,68.18
Palada,307,196,75,72,27,88,69.12
Rice,371,109,142,158,46,86,92.04
Parippu,634,341,91,118,31,74,55.96
Palada,677,413,37,144,55,62,46.25
Palada,301,543,72,111,50,78,62.41
Semiya,723,331,49,106,60,69,55.52
Semiya,474,376,126,103,33,87,66.49
Rice,243,383,119,119,49,88,81.27
Parippu,216,302,68,150,60,74,83.43
Semiya,529,346,114,106,54,62,68.05
Palada,768,389,146,187,42,65,78.06
Parippu,696,363,78,184,15,71,61.17
Parippu,211,542,93,152,56,74,78.96
Palada,517,313,91,134,32,65,66.97
Semiya,791,299,135,110,54,72,72.93
Palada,415,532,136,52,47,88,73.42
Parippu,538,178,83,177,26,78,73.24
Paal,280,500,134,135,22,62,67.5
Paal,684,543,38,96,38,67,31.2
Rice,573,442,117,125,30,67,66.91
Palada,399,443,66,87,18,82,54.25
Palada,736,272,78,190,52,85,69.61
Rice,665,566,70,136,58,79,58.53
Rice,288,168,46,107,41,74,65.49
Rice,467,515,117,99,23,63,64.47
Parippu,770,527,50,79,30,78,50.51
Palada,688,548,80,150,26,80,46.55
Parippu,737,186,88,74,45,62,62.44
Rice,246,200,68,161,38,72,71.72
Palada,487,107,84,175,28,67,67.34
Parippu,215,432,70,172,59,82,71.64
Parippu,600,299,68,96,39,75,68.74
Rice,285,186,42,167,48,72,70.15
Palada,449,142,93,88,17,62,62.9
Rice,590,484,40,65,38,75,55.32
Palada,534,208,139,71,56,68,84.83
Paal,718,534,48,103,23,87,31.78
Semiya,336,507,40,198,40,73,55.35
Semiya,697,582,106,65,34,72,51.61
Semiya,676,251,75,108,54,80,67.7
Rice,793,116,74,80,24,84,56.81
Paal,422,232,30,81,33,66,39.7
Palada,571,247,69,58,17,74,45.47
Parippu,601,376,137,188,38,66,84.08
Palada,642,331,48,59,19,65,41.25
Parippu,689,413,105,66,17,61,59.72
Palada,472,514,101,117,41,68,64.89
Paal,725,465,101,97,30,81,46.88
Parippu,358,327,90,160,29,83,71.78
Rice,351,238,146,172,49,76,97.73
Palada,387,535,138,198,26,64,66.57
Palada,297,498,41,150,55,71,60.23
Parippu,330,310,90,151,58,60,84.11
Rice,370,490,141,114,40,69,73.1
Rice,382,598,62,100,48,70,65.11
Paal,563,127,74,85,37,75,59.87
Rice,238,150,119,130,45,73,88.66
Rice,726,590,132,176,34,67,63.05
Rice,696,541,121,137,26,83,56.48
Semiya,715,360,98,153,37,76,62.25
Paal,548,360,37,64,18,84,47.99
Palada,596,449,54,145,37,77,53.87
Parippu,360,451,120,172,15,71,64.22
Palada,215,107,75,50,39,84,75.65
Paal,692,419,116,200,16,76,56.27
Parippu,625,237,59,171,44,87,63.1
Paal,307,137,138,175,17,85,71.9
Rice,649,210,76,106,35,73,59.51
Parippu,510,579,116,130,39,75,67.62
Rice,369,467,78,122,34,73,63.08
Palada,745,319,76,190,36,68,54.77
Palada,613,436,113,119,35,63,58.6
Parippu,450,322,111,55,47,84,77.76
Parippu,340,235,47,133,52,82,71.25
Paal,473,355,95,101,29,70,53.49
Paal,615,459,97,52,60,65,57.04
Rice,238,508,123,130,29,74,68.7
Parippu,228,428,62,112,60,64,74.53
Palada,676,549,65,98,39,70,47.94
Paal,517,562,111,125,35,84,57.2
Paal,444,533,130,161,38,77,66.17
Palada,471,550,48,158,19,89,53.11
Paal,639,148,140,114,20,72,64.49
Rice,438,391,57,130,57,70,70.53
Parippu,576,481,69,64,58,73,62.15
Palada,465,423,113,149,37,87,70.04
Parippu,558,177,142,81,18,77,76.1
Paal,539,204,126,145,41,86,73.7
Paal,588,268,105,177,32,87,64.18
Palada,776,316,144,195,35,90,74.65
Rice,202,477,44,162,42,84,59.98
Semiya,628,218,70,132,49,87,65.18
Palada,341,289,68,92,36,78,61.22
Semiya,575,354,31,165,54,83,50.75
Semiya,523,469,92,127,37,86,55.51
Rice,345,365,58,107,17,74,56.64
Semiya,492,248,134,82,54,68,82.54
Semiya,631,263,103,63,24,67,53.41
Rice,784,239,95,181,39,79,73.59
Semiya,598,446,80,108,22,87,54.68
Semiya,543,587,104,132,25,60,47.89
Semiya,339,357,106,183,19,63,63.73
Palada,386,473,39,170,59,73,57.63
Palada,260,368,43,132,51,84,68.26
Palada,579,280,111,76,59,61,69.43
Rice,639,259,80,129,52,75,61.98
Paal,518,450,147,183,43,62,68.3
Semiya,501,499,102,62,19,85,58.99
Semiya,543,387,150,113,23,67,67.39
Rice,210,387,68,196,16,65,65.69
Semiya,261,479,57,129,15,75,53.0
Palada,425,325,32,172,54,83,56.3
Paal,352,110,113,92,44,75,69.33
Parippu,763,109,99,138,25,66,66.82
Semiya,770,370,56,197,42,89,50.41
Palada,783,372,146,144,58,72,83.46
Parippu,774,523,31,200,26,72,39.24
Paal,509,501,122,51,53,64,57.96
Parippu,442,282,67,169,40,84,71.64
Palada,692,556,32,71,27,79,35.43
Parippu,565,252,45,164,22,81,45.93
Rice,529,587,123,106,42,77,76.57
Parippu,306,414,69,121,44,74,65.44
Semiya,425,433,31,56,23,77,44.83
Semiya,417,223,110,168,53,61,72.05
Rice,705,572,70,163,45,69,51.95
Palada,458,213,41,65,35,82,50.29
Semiya,716,377,64,132,48,72,50.77
Paal,253,599,136,121,45,77,67.14
Semiya,246,513,94,173,39,74,67.05
Semiya,720,567,84,162,26,90,47.68
Palada,298,312,74,61,15,71,52.78
Parippu,219,271,108,175,36,74,81.46
Semiya,772,387,119,102,54,72,70.72
Rice,689,534,130,124,51,77,76.34
Parippu,618,273,114,182,15,74,70.62
Paal,261,212,91,76,15,84,61.93
Palada,344,475,78,189,56,82,80.1
Paal,415,504,124,194,56,70,72.98
Parippu,202,582,54,183,35,78,67.2
Parippu,359,221,52,146,29,62,58.65
Parippu,319,131,53,54,31,66,61.63
Paal,288,321,150,106,36,80,75.75
Parippu,528,218,67,127,52,85,68.91
Paal,779,138,57,118,49,73,47.49
Parippu,556,596,50,167,59,73,57.26
Rice,466,367,83,169,30,81,60.34
Parippu,522,332,136,108,22,72,70.74
Paal,740,530,47,82,31,71,35.0
Semiya,394,117,65,111,31,83,70.74
Parippu,531,248,128,99,40,68,81.98
Semiya,369,496,74,161,27,60,57.93
Rice,720,248,148,68,31,78,66.99
Palada,662,225,102,172,52,70,73.16
Rice,239,491,82,96,31,82,65.94
Parippu,736,401,131,82,28,81,68.51
Semiya,460,459,59,190,59,82,61.67
Semiya,594,337,89,133,20,83,62.45
Paal,425,234,137,184,49,81,78.7
Semiya,323,250,127,128,60,78,85.14
Paal,237,335,61,63,28,77,45.24
Palada,527,323,96,196,22,71,63.78
Parippu,450,302,96,177,29,82,77.57
Paal,375,355,57,103,41,87,56.58
Palada,653,185,73,197,27,87,53.64
Semiya,236,249,108,78,45,87,75.23
Semiya,515,334,70,73,49,86,67.44
Palada,792,444,92,131,20,60,49.32
Semiya,313,121,52,112,19,78,59.94
Palada,239,447,133,154,36,87,86.94
Paal,500,384,104,106,37,86,59.05
Paal,423,368,77,185,39,79,62.02
Palada,517,565,61,111,48,88,58.54
Paal,548,357,86,66,40,89,57.43
Paal,314,128,147,115,19,76,75.81
Paal,522,312,129,55,40,64,61.58
Rice,767,562,62,107,34,85,46.57
Parippu,239,535,53,118,20,62,53.18
Semiya,239,382,68,111,20,61,49.84
Rice,488,149,63,131,32,90,71.5
Paal,461,194,85,120,18,62,54.13
Palada,415,562,57,180,31,67,59.05
Paal,346,598,66,59,28,75,50.85
Parippu,535,506,36,147,28,65,50.05
Paal,367,187,97,138,27,72,58.13
Palada,291,143,66,84,21,89,64.45
Parippu,552,560,85,51,58,82,63.16
Paal,770,377,94,173,29,87,43.0
Parippu,770,270,94,73,33,81,60.81
Semiya,562,520,76,123,57,81,59.47
Semiya,756,288,49,71,58,75,50.19
Paal,544,452,48,88,49,87,44.51
Parippu,369,283,58,69,31,75,58.26
Palada,555,102,103,90,49,62,75.03
Paal,390,290,89,197,33,87,71.01
Semiya,621,217,47,157,34,72,58.16
Semiya,206,118,121,196,50,73,91.03
Paal,332,122,64,133,49,67,67.35
Parippu,756,512,72,160,46,71,57.89
Semiya,230,129,140,115,58,82,84.79
Parippu,734,394,124,102,54,82,73.13
Semiya,625,207,120,83,38,81,64.71
Semiya,593,466,40,199,31,80,47.81
Rice,562,380,78,116,21,85,62.9
Semiya,636,227,142,183,57,67,88.62
Palada,750,328,67,76,15,80,46.81
Paal,281,210,93,59,49,84,62.2
Paal,555,235,98,122,46,68,62.77
Parippu,457,461,37,145,50,60,59.62
Semiya,788,285,63,97,27,65,48.65
Palada,723,243,77,119,20,82,54.64
Parippu,494,171,145,149,28,78,84.6
Rice,423,228,85,108,51,82,72.74
Parippu,724,463,105,51,29,70,57.46
Parippu,245,360,131,114,18,70,79.94
Semiya,312,102,94,132,54,82,71.88
Rice,432,548,60,59,30,89,52.82
Parippu,216,487,33,102,42,72,63.57
Palada,559,203,142,128,30,70,83.03
Palada,422,582,138,108,18,77,64.21
Paal,647,323,79,199,59,82,66.3
Rice,564,419,98,97,40,74,72.26
Rice,525,461,59,198,42,60,58.32
Paal,666,453,149,172,46,80,65.99
Parippu,613,590,117,71,59,84,71.04
Rice,654,572,88,149,16,66,50.88
Palada,785,109,96,147,45,82,73.54
Palada,432,504,104,74,17,86,56.16
Semiya,423,483,74,77,22,72,57.04
Rice,611,401,33,162,38,71,48.71
Parippu,771,330,55,94,29,77,46.87
Paal,534,318,56,117,57,83,58.15
Paal,421,510,75,56,45,78,57.05
Parippu,236,165,147,98,23,74,88.48
Semiya,477,524,136,186,53,67,76.61
Paal,395,211,93,132,59,78,78.89
Rice,683,112,120,178,16,69,75.25
Semiya,441,492,135,187,22,66,67.12
Rice,523,599,80,122,21,77,51.76
Palada,391,519,79,95,58,75,70.94
Semiya,216,185,35,155,53,79,70.84
Paal,723,333,88,81,56,86,58.35
Semiya,600,189,44,55,30,65,46.97
Semiya,221,413,146,194,49,86,86.53
Semiya,673,153,59,123,44,68,56.88
Semiya,319,111,71,163,24,80,65.13
Rice,409,308,130,76,52,72,79.49
Palada,505,561,66,103,32,84,54.06
Parippu,469,113,71,134,19,90,65.27
Semiya,484,220,130,176,43,80,79.37
Paal,426,517,64,160,53,85,47.61
Semiya,580,536,116,64,48,67,59.42
Paal,659,476,35,181,57,75,50.35
Rice,206,119,97,142,59,72,85.24
Paal,228,174,47,172,37,72,62.74
Parippu,232,499,102,122,19,76,66.15
Palada,278,342,142,196,44,82,90.66
Paal,658,322,58,141,20,79,41.53
Paal,769,169,106,66,60,64,61.15
Palada,737,411,88,92,58,81,63.18
Parippu,681,310,76,170,18,80,53.52
Semiya,629,200,145,90,43,87,80.27
Paal,484,285,46,88,37,76,53.57
Palada,715,231,138,162,20,87,69.1
Rice,298,210,125,200,46,68,90.34
Palada,596,480,141,160,56,61,79.72
Rice,688,231,51,96,32,84,54.76
Parippu,238,119,97,112,29,85,76.6
Semiya,470,493,98,159,54,77,73.99
Palada,356,123,66,118,46,68,69.54
Paal,274,326,134,92,23,65,64.56
Parippu,329,253,78,83,51,70,82.17
Palada,283,392,42,89,24,84,57.04
Paal,221,329,63,110,34,88,59.43
Palada,658,568,138,111,20,65,56.11
Rice,738,409,115,107,17,65,61.08
Palada,581,587,82,124,56,72,72.53
Palada,639,458,116,65,25,70,62.19
Palada,220,504,80,131,57,73,74.21
Parippu,502,301,32,143,31,61,58.23
Palada,283,137,71,97,46,67,71.56
Paal,652,529,127,187,18,62,51.17
Rice,586,359,61,131,18,82,52.14
Rice,706,287,138,87,31,80,69.18
Palada,456,156,80,176,55,62,73.71
Parippu,769,528,142,68,33,60,63.67
Parippu,726,119,114,112,19,83,68.44
Paal,361,372,75,126,46,78,58.73
Palada,362,218,137,180,36,77,85.07
Rice,723,170,50,151,20,76,53.56
Parippu,470,103,73,114,49,79,76.61
Palada,691,320,40,169,36,88,58.57
Parippu,407,113,132,140,15,83,81.59
Parippu,738,102,97,57,34,72,76.34
Rice,783,315,144,122,36,62,72.87
Semiya,259,328,30,183,25,89,53.36
Paal,629,435,121,156,27,60,60.98
Paal,508,285,92,138,56,63,63.97
Rice,719,154,53,88,17,84,42.36
Parippu,790,599,128,162,23,72,60.95
Palada,226,487,42,77,26,76,52.19
Parippu,761,475,140,146,37,87,78.7
Rice,398,353,127,86,28,89,71.3
Paal,586,123,40,186,47,70,53.15
Parippu,548,261,129,131,32,61,81.49
Paal,735,257,80,105,55,84,58.47
Palada,577,181,46,134,23,75,53.27
Paal,757,502,128,51,37,61,48.62
Paal,726,258,111,107,24,88,56.41
Semiya,352,287,133,156,33,78,76.97
Semiya,405,159,115,172,19,82,68.61
Semiya,654,502,150,163,37,78,66.48
Paal,472,404,53,156,44,84,49.08
Rice,435,418,48,86,39,75,53.17
Paal,720,465,66,128,42,81,49.39
Rice,700,310,132,141,48,78,79.76
Rice,316,505,114,67,59,68,80.98
Semiya,585,251,37,147,39,60,51.1
Parippu,543,208,57,112,24,69,58.63
Palada,783,175,34,199,28,78,49.44
Semiya,594,129,46,188,56,60,66.51
Semiya,263,413,130,53,60,61,71.35
Parippu,271,585,65,184,44,75,65.68
Palada,473,216,147,110,55,71,82.8
Paal,519,514,48,156,39,67,49.89
Paal,537,455,93,103,28,82,49.52
Semiya,565,291,120,137,49,77,66.31
Palada,694,118,146,117,48,61,81.29
Semiya,365,531,127,178,24,84,66.41
Rice,743,272,40,104,49,88,53.78
Semiya,210,327,83,52,25,72,59.47
Semiya,500,449,74,170,25,65,50.61
Paal,301,282,76,178,35,80,65.31
Paal,624,212,41,151,35,85,48.8
Paal,591,282,147,87,36,65,65.97
Rice,413,580,50,134,59,68,56.81
Paal,287,245,147,182,21,75,74.23
Palada,752,418,40,141,31,70,45.63
Parippu,600,215,132,70,16,66,71.59
Palada,787,212,121,158,26,90,68.02
Palada,245,350,34,96,56,69,59.79
Paal,662,575,110,133,32,69,40.64
Parippu,791,350,85,132,25,89,65.81
Parippu,509,402,49,84,30,84,50.63
Parippu,285,558,70,118,32,79,55.72
Rice,291,412,75,178,49,77,73.74
Paal,441,217,41,189,40,87,48.51
Parippu,201,400,99,76,30,83,71.04
Rice,424,260,46,105,20,79,58.41
Semiya,788,500,144,72,58,88,75.73
Semiya,315,297,48,70,57,68,64.0
Rice,302,359,55,110,56,90,68.87
Rice,393,247,77,112,26,74,65.57
Paal,365,339,137,171,27,63,61.63
Paal,289,146,137,101,18,90,70.8
Semiya,321,574,81,137,53,67,61.9
Parippu,342,498,125,104,16,68,70.19
Semiya,305,297,99,95,40,72,77.78
Parippu,627,146,84,81,41,68,61.18
Parippu,504,177,129,104,41,85,81.66
Paal,516,223,131,145,29,63,59.03
Palada,208,174,104,182,22,76,75.57
Palada,272,458,62,85,21,75,52.41
Rice,558,236,91,159,60,74,70.88
Paal,422,189,117,155,54,62,77.9
Parippu,615,499,52,107,26,84,52.08
Palada,752,424,44,88,27,79,46.16
Parippu,569,599,56,129,57,64,56.93
Palada,463,160,104,146,31,82,73.19
Palada,517,237,93,162,31,64,73.28
Palada,283,149,150,110,50,79,92.56
Paal,517,358,144,186,35,74,73.17
Semiya,310,560,143,55,22,77,64.13
Parippu,450,206,110,158,19,74,77.01
Paal,582,212,80,84,40,61,52.57
Paal,206,449,82,88,30,88,50.4
Paal,658,353,107,199,50,72,63.16
Paal,283,217,120,167,42,63,72.7
Paal,407,592,111,54,43,69,50.46
Rice,589,297,121,136,26,72,70.76
Parippu,513,436,80,125,51,69,64.7
Paal,221,464,76,106,44,88,73.12
Parippu,609,150,140,176,37,90,79.63
Rice,714,344,33,78,30,68,40.33
Rice,326,502,36,136,28,67,56.42
Parippu,213,525,138,190,24,62,79.39
Palada,211,134,64,95,21,75,69.68
Semiya,286,401,77,165,59,90,74.16
Palada,723,509,102,161,51,73,61.29
Palada,736,598,101,200,43,68,53.89
Palada,500,168,145,94,17,89,80.19
Paal,442,448,74,194,29,80,47.97
Rice,321,419,110,153,50,70,81.09
Palada,346,520,110,134,60,62,79.08
Rice,766,567,142,183,33,64,66.03
Parippu,555,148,126,157,27,88,78.76
Semiya,508,504,125,67,56,69,65.13
Parippu,487,173,101,143,35,72,78.04
Parippu,506,291,48,199,51,63,54.96
Paal,793,360,92,82,41,83,53.29
Semiya,748,455,67,175,43,72,52.13
Parippu,551,169,96,171,34,71,73.29
Parippu,511,189,88,187,39,64,75.39
Semiya,258,359,98,164,20,69,60.1
Semiya,234,225,42,77,50,87,54.97
Parippu,644,330,76,60,16,83,56.98
Semiya,292,394,139,96,36,68,80.5
Parippu,406,597,90,176,46,79,63.25
Parippu,552,518,60,196,30,66,52.58
Paal,531,228,148,167,32,61,74.12
Palada,358,379,109,192,19,81,71.09
Parippu,223,412,143,175,50,83,100.0
Rice,603,199,125,121,44,87,83.35
Palada,715,425,51,156,59,82,60.98
Palada,563,396,122,186,33,66,66.7
Palada,581,281,115,82,37,67,70.38
Paal,731,273,72,68,48,66,55.98
Parippu,351,415,96,123,27,80,69.32
Paal,761,463,83,147,57,82,53.2
Parippu,619,287,39,190,43,88,62.29
Paal,449,156,71,178,50,73,62.11
Paal,316,130,93,142,36,85,70.16
Rice,711,183,50,97,50,78,61.46
Paal,777,251,109,113,23,64,57.37
Semiya,534,572,105,110,53,82,63.2
Rice,617,135,95,88,33,90,72.18
Paal,494,312,70,177,52,84,60.33
Palada,570,513,53,137,20,90,50.34
Semiya,385,507,64,75,29,77,50.46
Semiya,445,463,85,66,34,79,59.32
Semiya,467,205,59,120,23,71,58.07
Rice,436,513,86,62,46,82,60.66
Paal,729,441,123,118,18,76,55.03
Paal,751,319,76,75,32,72,44.49
Palada,220,490,64,98,19,61,53.66
Palada,719,262,48,56,34,84,47.27
Semiya,299,538,143,107,37,72,74.53
Palada,677,319,37,98,25,85,46.15
Rice,798,369,55,152,51,66,57.51
Paal,497,219,142,102,36,87,73.43
Semiya,725,493,133,111,18,69,58.25
Palada,533,435,100,66,43,82,75.88
Rice,201,499,59,74,58,65,68.03
Rice,574,281,36,180,48,62,56.47
Palada,492,578,96,78,27,85,49.12
Paal,752,205,94,166,56,62,56.74
Palada,517,316,65,75,23,77,59.3
Semiya,701,304,54,173,56,70,60.29
Palada,580,169,66,193,45,81,62.33
Rice,213,143,30,74,21,79,69.97
Palada,703,428,44,103,18,64,42.04
Paal,430,400,66,122,33,78,53.22
Parippu,283,327,42,169,56,81,81.36
Palada,329,283,133,105,44,86,89.87
Paal,344,206,37,114,45,87,59.16
Paal,227,183,34,142,49,78,63.66
Rice,265,437,89,135,35,89,75.27
Paal,362,349,102,129,45,74,64.84
Paal,428,462,30,157,33,89,45.21
Paal,460,540,65,167,45,75,54.14
